,"Hero lvl is based on max kill per hour, attack and def same lvl, cooked goldfish, dragonstone amulet,no infused gears, melee atk, mats time is only time needed for food",,,,,,,,,,,,,,,,,
Hero,,code line on github,MONSTER,MAX KILL atk,def,equipment,food cost/day,food/H,exp/day,total monster/day,G.Reward,rate/1 monster,g.rewards,loots//drop rate,drop chance,rate/1 monster,drop rate (CHANCE)(rarity),Drop rate/day
,1,2711,MONTANITE_FIRE_TITAN,100,100,orich,97089,4045.375,42840,178,BRIMSTONE,5,890,DRAGON_KEY,2731,1,4.167175293,7.417572021
,,,MONTANITE_FIRE_TITAN,,,,,,,178,-,-,,BONE_KEY,2731,1,4.167175293,7.417572021
,,,MONTANITE_FIRE_TITAN,,,,,,-,178,-,-,,NOVIAN_RING,2,1,0.003051757813,0.005432128906
,,,,,,,,,,,,,,,,,,
,2,2679,MONTANITE_ICE_TITAN,86,86,titanium,82175,3423.958333,28800,240,-,-,,DRAGON_KEY,2048,2,3.125,7.5
,,,-,,,,,,-,240,-,-,,BONE_KEY,2048,2,3.125,7.5
,,,-,,,,,,-,240,-,-,,ETCHED_RING,2,1,0.003051757813,0.00732421875
,,,,,,,,,,,,,,,,,,
,3,2648,BLAZING_MONTANITE,90,90,orich,15186,632.75,15600,720,BRIMSTONE,1,720,BONE_KEY,910,1,1.388549805,9.997558594
,,,-,,,,,,-,720,-,-,,PRIMDIAT_RING,1,1,0.001525878906,0.01098632813
,,,,,,,,,,,,,,,,,,
,4,2617,COMBAT_ICE_TROLL,91,91,orich,9411,392.125,13200,1200,-,-,,DRAGON_KEY,546,1,0.8331298828,9.997558594
,,,,,,,,,,1200,-,-,,OCULITE_RING,1,1,0.001525878906,0.01831054688
,,,,,,,,,,,,,,,,,,
,5,2586,CAVE_FAIRY,100,100,orich,12026,501.0833333,10512,1327,-,-,,NATURE_KEY,455,1,0.6942749023,9.213027954
,,,,,,,,,,1327,-,-,,AQUA_KEY,455,1,0.6942749023,9.213027954
,,,,,,,,,,,,,,,,,,
,6,2558,JUVENILE_CAVE_FAIRY,90,90,orich,5485,228.5416667,9600,1800,-,-,,AQUA_KEY,364,1,0.5554199219,9.997558594
,,,,,,,,,,,,,,,,,,
,7,2530,EMBER_WHELP,63,63,runite,3184,132.6666667,6600,1800,BRIMSTONE,1,1800,NATURE_KEY,364,1,0.5554199219,9.997558594
,,,,,,,,,,,,,,,,,,
,8,2494,ERKAD,100,100,orich,76081,3170.041667,48000,240,STRING,10,2400,BONE_CHEST,2800,1,4.272460938,10.25390625
,,,-,,,,,,-,240,POISON,2,480,VENOM_POUCH,1328,1,2.026367188,4.86328125
,,,-,,,,,,-,240,FLUX,1,240,MASTER_TROUSERS,8,1,0.01220703125,0.029296875
,,,,,,,,,,,,,,,,,,
,9,2458,ELEMENTAL_DRAGON,100,100,orich,32479,1353.291667,24000,240,DRAGON_BONE,5,1200,DRAGON_CHEST,2800,1,4.272460938,10.25390625
,,,-,,,,,,,240,DRAGON_TEETH,1,240,DRAGON_SCALE,400,1,0.6103515625,1.46484375
,,,-,,,,,,-,240,FLUX,1,240,SCORCHING_BOOTS,8,1,0.01220703125,0.029296875
,,,,,,,,,,,,,,,,,,
,10,2424,QRAKUR,100,100,orich,20564,856.8333333,11928,994,FEATHER,10,9940,FLUX,600,2,0.9155273438,18.20068359
,,,-,,,,,,,994,SMALL_BONE,1,994,SCORCHING_BRACERS,8,1,0.01220703125,0.1213378906
,,,,,,,,,,,,,,,,,,
,11,2389,ROCKHAWK,90,90,orich,5574,232.25,14400,1200,FEATHER,2,2400,WHITE_DEATH_SPORE,1328,2,2.026367188,48.6328125
,,,-,,,,,,-,1200,IRON_ORE,1,1200,FLUX,600,1,0.9155273438,10.98632813
,,,-,,,,,,-,1200,SMALL_BONE,1,1200,-,-,-,-,
,,,,,,,,,,,,,,,,,,
,12,2357,ANCIENT_ENT,74,74,titanium,14353,598.0416667,12000,1200,REDWOOD_LOG,2,2400,ENCHANTED_ACORN,3320,1,5.065917969,60.79101563
,,,-,,,,,,-,1200,-,-,,ADAMANTINE_AXE,3000,1,4.577636719,54.93164063
,,,-,,,,,,-,1200,-,-,,MASTER_HAT,8,1,0.01220703125,0.146484375
,,,,,,,,,,,,,,,,,,
,13,2325,DWELLER_BAT,72,72,titanium,301,12.54166667,12000,1200,LARGE_BONE,1,1200,BAT_WING,1328,1,2.026367188,24.31640625
,,,,,,,,,-,1200,-,-,,QUAVA_SILK,1328,1,2.026367188,24.31640625
,,,,,,,,,-,1200,-,-,,MASTER_BRACERS,8,1,0.01220703125,0.146484375
,,,,,,,,,,,,,,,,,,
,14,2290,QUARTZ_EAGLE,70,70,titanium,86,3.583333333,10800,1200,FEATHER,10,12000,ANURGAT,1328,2,2.026367188,48.6328125
